timestamp,src_ip,dst_ip,protocol,bytes,packets
1768976845,10.10.90.194,224.0.0.251,17,1056,6
1768976845,10.10.91.222,224.0.0.251,17,164,2
1768976845,10.10.90.214,224.0.0.251,17,1221,6
1768976845,10.10.90.29,10.10.91.255,17,243,1
1768976845,10.10.91.155,10.10.91.255,17,308,2
1768976845,10.10.90.253,10.10.91.255,17,308,2
1768976845,10.10.91.132,224.0.0.251,17,1073,6
1768976845,10.10.91.23,239.255.102.18,2,60,1
1768976850,180.149.59.219,10.10.90.210,6,138,2
1768976850,10.10.90.210,180.149.59.219,6,54,1
1768976850,10.10.90.210,44.254.59.110,6,110,2
1768976850,10.10.90.210,216.239.34.223,6,1681,7
1768976850,216.239.34.223,10.10.90.210,6,1101,9
1768976850,44.254.59.110,10.10.90.210,6,132,2
1768976850,18.161.111.99,10.10.90.210,6,213,3
1768976850,10.10.90.210,18.161.111.99,6,108,2
1768976855,10.10.90.210,52.111.252.7,6,55,1
1768976855,52.123.128.14,10.10.90.210,6,60,1
1768976855,52.111.252.7,10.10.90.210,6,66,1
1768976855,172.64.148.235,10.10.90.210,6,138,2
1768976855,10.10.90.210,172.64.148.235,6,82,1
1768976855,10.10.90.210,44.254.59.110,6,3698,4
1768976855,10.10.90.177,224.0.0.22,2,180,3
1768976855,10.10.90.177,224.0.0.252,17,150,2
1768976855,44.254.59.110,10.10.90.210,6,517,7
1768976855,10.10.90.210,57.144.123.32,6,31025,344
1768976855,57.144.123.32,10.10.90.210,6,534239,398
1768976855,10.10.90.207,224.0.0.251,17,1141,6
1768976855,10.10.90.210,54.191.87.67,6,110,2
1768976855,34.139.114.151,10.10.90.210,6,91,1
1768976855,10.10.90.210,34.139.114.151,6,54,1
1768976855,54.191.87.67,10.10.90.210,6,132,2
1768976855,10.10.90.210,180.149.52.218,6,7465,5
1768976855,180.149.52.218,10.10.90.210,6,794,9
1768976855,10.10.90.210,10.10.0.26,17,165,2
1768976855,10.10.0.26,10.10.90.210,17,518,2
1768976855,10.10.90.154,255.255.255.255,17,885,5
1768976855,10.10.90.154,10.10.91.255,17,177,1
1768977071,180.149.52.216,10.10.90.210,6,24711,24
1768977071,10.10.90.210,180.149.52.216,6,8000,13
1768977071,10.10.90.214,224.0.0.251,17,2150,11
1768977071,10.10.90.210,150.171.30.11,6,55,1
1768977071,150.171.30.11,10.10.90.210,6,66,1
1768977071,10.10.90.214,10.10.91.255,17,660,6
1768977071,0.0.0.0,255.255.255.255,17,342,1
1768977071,10.10.90.210,199.232.106.137,6,55,1
1768977071,10.10.90.210,162.159.200.1,17,90,1
1768977071,199.232.106.137,10.10.90.210,6,66,1
1768977071,10.10.91.23,255.255.255.255,17,1232,7
1768977071,10.10.91.23,10.10.91.255,17,176,1
1768977071,10.10.90.210,93.123.17.254,6,409,1
1768977071,93.123.17.254,10.10.90.210,6,60,1
1768977071,10.10.91.4,239.255.255.250,17,848,4
1768977076,172.64.148.235,10.10.90.210,6,138,2
1768977076,10.10.90.210,172.64.148.235,6,82,1
1768977076,10.10.90.210,142.251.220.110,6,55,1
1768977076,142.251.220.110,10.10.90.210,6,66,1
1768977076,10.10.91.4,239.255.255.250,17,848,4
1768977076,10.10.90.210,162.159.200.1,17,90,1
1768977076,52.88.136.56,10.10.90.210,6,610,8
1768977076,10.10.90.210,52.88.136.56,6,324,6
1768977076,10.10.90.210,142.251.221.110,6,55,1
1768977076,142.251.221.110,10.10.90.210,6,66,1
1768977076,10.10.90.210,142.250.206.14,6,55,1
1768977076,142.250.206.14,10.10.90.210,6,66,1
