timestamp,total_bytes,throughput_mbps,dst_ip_entropy,avg_fan_out
1769860953727,2814280,0.537,4.197,2.04
1769861013712,584207,0.111,4.241,1.96
1769861073726,116970,0.022,4.297,1.93
1769861133720,120294,0.023,4.296,1.96
1769861193721,1663084,0.317,4.4,1.84
1769861253738,2763759,0.527,4.352,1.78
1769861313733,1351545,0.258,4.279,1.73
1769861373724,1462052,0.279,4.326,1.79
1769861392190,916240,0.175,4.13,1.8
1769861974102,196093,0.037,4.29,1.84
1769861974148,196093,0.037,4.29,1.84
1769861979097,183580,0.035,4.244,1.84
1769861984111,180725,0.034,4.222,1.85
1769861989108,198792,0.038,4.16,1.84
1769861994096,229850,0.044,4.127,1.83
1769861999090,230242,0.044,4.074,1.82
1769862004105,228069,0.044,4.289,1.93
1769862009084,231738,0.044,4.422,1.97
1769862014095,191079,0.036,4.41,1.98
1769862019114,183156,0.035,4.489,1.98
1769862024113,191248,0.036,4.473,1.96
1769862029091,189973,0.036,4.455,1.98
1769862034092,178927,0.034,4.421,1.96
1769862039100,171973,0.033,4.385,1.98
1769862044101,167498,0.032,4.405,2.02
1769862049101,167484,0.032,4.494,2.02
1769862054108,152469,0.029,4.553,2.04
1769862059099,114386,0.022,4.45,2.06
1769862064090,101628,0.019,4.481,2.04
1769862069109,115657,0.022,4.459,2.0
1769862074106,118575,0.023,4.333,2.04
1769862079107,126757,0.024,4.269,2.04
1769862084102,123099,0.023,4.23,2.02
1769862089106,125131,0.024,4.279,2.0
1769862094096,125439,0.024,4.32,2.02
1769862099098,128679,0.025,4.373,2.02
1769862104727,1821330,0.347,4.364,1.96
1769862109740,2534635,0.483,4.33,1.98
1769862114704,2572013,0.491,4.348,1.98
1769862119719,2601972,0.496,4.288,2.02
1769862124728,2596703,0.495,4.327,2.06
1769862129722,2594911,0.495,4.387,2.04
1769862134715,2589623,0.494,4.418,2.06
1769862139727,2598400,0.496,4.393,2.06
1769862144716,2608494,0.498,4.4,2.04
1769862149721,2598064,0.496,4.38,2.04
1769862154727,2600603,0.496,4.344,2.05
1769862159724,2691801,0.513,4.257,2.07
1769862164722,2559205,0.488,4.185,2.14
1769862213728,2508194,0.478,4.376,1.98
1769862273715,135906,0.026,4.203,1.96
1769862333725,2165946,0.413,4.4,2.07
1769862393733,113047,0.022,4.445,1.98
1769862453733,1724192,0.329,4.394,1.9
1769862513737,230141,0.044,4.355,1.83
1769862573729,178001,0.034,4.302,1.83
1769862633761,355961,0.068,4.542,1.88
1769862693731,119392,0.023,4.589,1.96
1769862753731,2439682,0.465,4.548,2.02
1769862813722,256101,0.049,4.469,1.96
1769862873726,167512,0.032,4.407,2.07
1769862933728,208037,0.04,4.56,2.0
1769862951970,254505,0.049,4.636,2.06
1769862954102,254505,0.049,4.636,2.06
1769862959108,273830,0.052,4.634,2.12
1769862964730,306641,0.058,4.655,2.09
1769862969719,331997,0.063,4.633,2.17
1769862974731,329549,0.063,4.624,2.12
1769862979706,251570,0.048,4.595,2.22
1769862984111,240360,0.046,4.569,2.26
1769862989728,257545,0.049,4.491,2.21
1769862994712,287633,0.055,4.438,2.12
1769862999719,287780,0.055,4.353,2.09
1769863004103,265129,0.051,4.431,2.16
1769863009111,265740,0.051,4.384,2.14
1769863014734,315355,0.06,4.468,2.04
1769863019733,456395,0.087,4.47,2.06
1769863024732,502464,0.096,4.424,2.06
1769863029734,510344,0.097,4.406,2.0
1769863034718,538257,0.103,4.352,1.96
1769863039746,625294,0.119,4.354,1.96
1769863044725,762505,0.145,4.344,2.0
1769863049723,731382,0.14,4.365,2.0
1769863054730,732627,0.14,4.423,2.04
1769863059727,762947,0.146,4.392,2.04
1769863064735,832525,0.159,4.3,1.96
1769863069726,776469,0.148,4.304,1.94
1769863113746,3859562,0.736,4.173,1.91
1769863173728,4065783,0.775,4.225,1.95
1769863233738,409913,0.078,4.17,1.98
1769863293720,3007841,0.574,4.386,2.21
1769863353726,1129118,0.215,4.154,1.98
1769863413728,673945,0.129,4.358,1.92
1769863473734,1767154,0.337,4.112,1.86
1769863533732,2123187,0.405,4.263,1.96
1769863593725,64180756,12.242,4.136,1.85
1769863653722,8807374,1.68,4.292,1.98
1769863687749,1629416,0.311,4.582,2.08
1769863689123,1645729,0.314,4.528,2.13
1769863732832,519081,0.099,4.404,2.1
1769863732889,643859,0.123,4.364,2.17
1769863931738,247152,0.047,4.343,2.18
1769863931802,247152,0.047,4.343,2.18
1769863935021,290343,0.055,4.43,2.17
1769863935078,290343,0.055,4.43,2.17
1769863940000,664527,0.127,4.49,2.16
1769863940490,664527,0.127,4.49,2.16
1769863940538,664527,0.127,4.49,2.16
1769863944368,675612,0.129,4.492,2.25
1769863944413,675612,0.129,4.492,2.25
1769863948236,675612,0.129,4.492,2.25
1769863948280,675612,0.129,4.492,2.25
1769863953262,2542450,0.485,4.457,2.16
1769863958250,2645981,0.505,4.452,2.09
1769863959420,2652473,0.506,4.49,2.07
1769863959469,2652473,0.506,4.49,2.07
1769863962614,2652473,0.506,4.49,2.07
1769863962669,2652473,0.506,4.49,2.07
1769863967625,2721956,0.519,4.571,2.15
1769863972609,2681363,0.511,4.594,2.21
1769863975549,2268231,0.433,4.596,2.22
1769863975586,2268231,0.433,4.596,2.22
1769863980561,2457671,0.469,4.569,2.2
1769863985550,2464825,0.47,4.442,2.15
1769863988392,2464825,0.47,4.442,2.15
1769863988438,2464825,0.47,4.442,2.15
1769863990547,2455767,0.468,4.423,2.15
1769863990588,2455767,0.468,4.423,2.15
1769863995186,603660,0.115,4.406,2.1
1769863995217,603660,0.115,4.406,2.1
